Model,Brand,Year,Price,Mileage,Transmission
Toyota Vellfire,Toyota,2021,209500,22000,Automatic
Honda CR-V,Honda,2022,113800,77000,Automatic
Volkswagen Tiguan,Volkswagen,2023,141800,2000,Automatic
BMW 320i,BMW,2020,149800,52000,Automatic
BMW X1,BMW,2022,156800,52000,Automatic
BMW 320i,BMW,2021,155800,47000,Automatic
BMW X3,BMW,2021,219800,37000,Automatic
Mercedes-Benz E200,Mercedes-Benz,2022,248000,22000,Automatic
BMW 320i,BMW,2023,225000,7000,Automatic
Audi A4,Audi,2016,89888,57000,Automatic
Perodua Myvi,Perodua,2015,26400,92951,Automatic
Toyota Vios,Toyota,2023,75800,27000,Automatic
Proton Saga,Proton,2019,27000,77466,Automatic
Proton Persona,Proton,2017,30000,127106,Automatic
Perodua Bezza,Perodua,2019,36000,96806,Automatic
Perodua Myvi,Perodua,2018,42800,106486,Automatic
Toyota Vios,Toyota,2007,22800,185099,Automatic
Perodua Myvi,Perodua,2013,21500,195775,Automatic
Perodua Bezza,Perodua,2016,26000,133794,Automatic
Honda City,Honda,2019,61200,83488,Automatic
Perodua Myvi,Perodua,2024,53800,15698,Automatic
Honda Jazz,Honda,2016,52000,130181,Automatic
Toyota Yaris,Toyota,2019,62900,64752,Automatic
Perodua Myvi,Perodua,2019,45800,62059,Automatic
Nissan Almera,Nissan,2018,29777,67000,Automatic
Honda City,Honda,2018,53777,57000,Automatic
Honda City,Honda,2021,66777,72000,Automatic
Nissan Almera,Nissan,2014,19999,102000,Automatic
Perodua Myvi,Perodua,2012,21999,122000,Automatic
Perodua Myvi,Perodua,2008,11999,102000,Automatic
Toyota Wish,Toyota,2014,58900,177000,Automatic
Proton Preve,Proton,2015,19100,122000,Automatic
Suzuki Swift,Suzuki,2010,17900,197000,Automatic
Perodua Aruz,Perodua,2019,54000,97000,Automatic
Toyota Yaris,Toyota,2019,60000,67000,Automatic
Perodua Myvi,Perodua,2021,49000,57000,Automatic
Perodua Aruz,Perodua,2019,54000,87000,Automatic
Perodua Bezza,Perodua,2019,36000,42000,Automatic
Toyota Vios,Toyota,2015,40900,127000,Automatic
Mercedes-Benz C200,Mercedes-Benz,2022,225000,27000,Automatic
Perodua AXIA,Perodua,2020,31900,59356,Automatic
Perodua Bezza,Perodua,2018,35700,59881,Automatic
BMW X5,BMW,2021,275000,42000,Automatic
Perodua AXIA,Perodua,2022,37400,40914,Automatic
Honda Jazz,Honda,2016,40000,62000,Automatic
Porsche 718,Porsche,2023,790000,7000,Automatic
Perodua Aruz,Perodua,2020,55900,65120,Automatic
Perodua Myvi,Perodua,2021,49000,65610,Automatic
Proton Saga,Proton,2018,25800,69032,Automatic
Honda Civic,Honda,2021,113900,24502,Automatic
Toyota Corolla Altis,Toyota,2014,36500,247000,Automatic
Mercedes-Benz E250,Mercedes-Benz,2018,120000,162000,Automatic
Perodua Bezza,Perodua,2017,35000,104845,Automatic
Perodua Bezza,Perodua,2019,36200,97000,Automatic
MINI 3 Door,MINI,2017,118000,47629,Automatic
BMW X1,BMW,2022,149800,52000,Automatic
Honda Civic,Honda,2017,79900,81987,Automatic
Nissan Grand Livina,Nissan,2012,23400,142000,Automatic
Perodua Bezza,Perodua,2017,34800,112000,Automatic
Honda Jazz,Honda,2015,44900,117000,Automatic
Kia Sportage,Kia,2014,32800,192000,Automatic
Honda Jazz,Honda,2017,56000,87000,Automatic
Proton Iriz,Proton,2017,29800,57523,Automatic
Honda Jazz,Honda,2017,56000,72000,Automatic
Nissan Almera,Nissan,2015,26800,107000,Automatic
Nissan Serena,Nissan,2018,82000,97000,Automatic
Perodua Myvi,Perodua,2018,40999,57000,Automatic
Perodua Bezza,Perodua,2019,36200,76914,Automatic
BMW X1,BMW,2019,89800,47000,Automatic
Perodua Aruz,Perodua,2020,54900,83705,Automatic
Toyota Alphard,Toyota,2020,229999,27000,Automatic
Lamborghini Aventador,Lamborghini,2018,2650000,22000,Automatic
Proton X70,Proton,2022,83000,38791,Automatic
Toyota Vios,Toyota,2018,54800,102000,Automatic
Perodua Bezza,Perodua,2017,32800,112000,Automatic
Perodua AXIA,Perodua,2017,27800,145312,Automatic
Perodua Aruz,Perodua,2019,53900,90877,Automatic
Perodua Alza,Perodua,2011,21900,187641,Automatic
Perodua Myvi,Perodua,2018,43500,59573,Automatic
Perodua AXIA,Perodua,2019,29400,102722,Automatic
Volkswagen Tiguan,Volkswagen,2018,76800,95122,Automatic
Audi A5,Audi,2019,167000,32000,Automatic
Toyota Vios,Toyota,2019,56900,82000,Automatic
Nissan Almera,Nissan,2016,31800,121033,Automatic
Toyota Yaris,Toyota,2020,60000,37000,Automatic
Perodua Myvi,Perodua,2016,34300,116137,Automatic
Mazda 3,Mazda,2019,112000,97712,Automatic
Honda HR-V,Honda,2017,59800,132000,Automatic
Proton Saga,Proton,2017,24000,92499,Automatic
Honda City,Honda,2019,58000,72830,Automatic
Perodua Bezza,Perodua,2017,34800,106300,Automatic
Perodua Bezza,Perodua,2016,32500,123207,Automatic
Honda City,Honda,2017,54000,117302,Automatic
BMW 520i,BMW,2019,159800,77000,Automatic
Mazda CX-5,Mazda,2022,116800,62000,Automatic
Toyota Alphard,Toyota,2019,199000,52000,Automatic
Volkswagen Tiguan,Volkswagen,2021,101800,42000,Automatic
Honda Civic,Honda,2020,95800,92000,Automatic
Perodua Myvi,Perodua,2013,19800,92000,Automatic
Mazda 3,Mazda,2020,113800,97000,Automatic
Mercedes-Benz GLC250,Mercedes-Benz,2016,139800,92000,Automatic
Honda City,Honda,2022,69800,22000,Automatic
Land Rover Range Rover Velar,Land,2021,288800,22000,Automatic
BMW 328i,BMW,2015,49800,102000,Automatic
BMW 330i,BMW,2020,179800,52000,Automatic
Mercedes-Benz CLA45 AMG,Mercedes-Benz,2022,375000,17000,Automatic
Honda Civic,Honda,2021,83800,62000,Automatic
Peugeot 3008,Peugeot,2018,54800,102000,Automatic
Honda HR-V,Honda,2020,79800,67000,Automatic
Toyota Hilux,Toyota,2015,61800,112000,Automatic
Toyota Camry,Toyota,2017,69800,97000,Automatic
BMW 530i,BMW,2022,259800,62000,Automatic
Mercedes-Benz C200,Mercedes-Benz,2022,205800,42000,Automatic
Mitsubishi Triton,Mitsubishi,2019,69800,57000,Automatic
Mazda 3,Mazda,2016,48800,127000,Automatic
Ford Ranger,Ford,2017,55800,92000,Automatic
Honda City,Honda,2021,63800,47000,Automatic
Proton Saga,Proton,2019,23800,72000,Automatic
Proton X70,Proton,2021,67800,62000,Automatic
Honda HR-V,Honda,2021,79800,87000,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2013,48500,82000,Automatic
Perodua Alza,Perodua,2022,56800,32000,Automatic
Hyundai Grand Starex,Hyundai,2014,51800,112000,Automatic
Mercedes-Benz C300,Mercedes-Benz,2016,121800,77000,Automatic
Subaru XV,Subaru,2015,33800,97000,Automatic
Mitsubishi Triton,Mitsubishi,2020,83800,87000,Automatic
Honda Civic,Honda,2015,44800,92000,Automatic
BMW 520d,BMW,2013,46800,132000,Automatic
Mazda CX-5,Mazda,2018,68800,77000,Automatic
Mercedes-Benz C43 AMG,Mercedes-Benz,2019,199800,22000,Automatic
Mazda 3,Mazda,2018,62800,47000,Automatic
Mercedes-Benz A250,Mercedes-Benz,2014,71800,127000,Automatic
BMW 320d,BMW,2014,48500,67000,Automatic
BMW X5,BMW,2020,238800,22000,Automatic
BMW X3,BMW,2022,225500,27000,Automatic
BMW X6,BMW,2022,515000,27000,Automatic
Perodua AXIA,Perodua,2014,15900,82000,Automatic
Perodua Bezza,Perodua,2023,40888,12000,Automatic
Nissan X-Trail,Nissan,2019,51888,57000,Automatic
Mercedes-Benz GLA200,Mercedes-Benz,2019,115888,67000,Automatic
Honda Civic,Honda,2019,82888,57000,Automatic
Honda CR-V,Honda,2019,90888,72000,Automatic
Honda CR-V,Honda,2020,94888,67000,Automatic
Honda HR-V,Honda,2017,54888,67000,Automatic
Proton Persona,Proton,2020,30888,62000,Automatic
Honda Accord,Honda,2021,121888,57000,Automatic
BMW X1,BMW,2018,62888,57000,Automatic
Nissan Almera,Nissan,2022,59888,22000,Automatic
Toyota Vios,Toyota,2018,39888,47000,Automatic
Honda Civic,Honda,2015,37888,92000,Automatic
Mazda 6,Mazda,2016,68888,72000,Automatic
Mitsubishi Outlander,Mitsubishi,2019,64888,62000,Automatic
Honda City,Honda,2013,24888,82000,Automatic
Proton Persona,Proton,2019,25888,77000,Automatic
Toyota Camry,Toyota,2013,33888,92000,Automatic
Perodua Myvi,Perodua,2017,36888,72000,Automatic
Toyota Hilux,Toyota,2016,64888,72000,Manual
Toyota Corolla Altis,Toyota,2018,59888,72000,Automatic
Honda HR-V,Honda,2020,65888,52000,Automatic
Perodua Myvi,Perodua,2010,14888,127000,Automatic
Mercedes-Benz E350 e,Mercedes-Benz,2017,115888,62000,Automatic
Honda Civic,Honda,2019,68888,52000,Automatic
Proton X70,Proton,2021,56888,57000,Automatic
Toyota Vios,Toyota,2018,47888,77000,Automatic
Ford Ranger,Ford,2019,77888,57000,Automatic
Nissan Serena,Nissan,2023,127888,2000,Automatic
Toyota Yaris,Toyota,2023,70888,12000,Automatic
Volvo S60,Volvo,2020,144800,27000,Automatic
Perodua Myvi,Perodua,2019,46000,80921,Automatic
Honda Civic,Honda,2012,45888,102000,Automatic
Perodua Alza,Perodua,2014,24888,77000,Automatic
Nissan Almera,Nissan,2014,22400,177000,Automatic
Perodua Aruz,Perodua,2020,56000,41429,Automatic
Toyota Yaris,Toyota,2021,66400,30405,Automatic
Honda Civic,Honda,2016,75900,87000,Automatic
Mazda CX-5,Mazda,2017,57888,82000,Automatic
Honda Accord,Honda,2008,19000,247000,Automatic
Toyota Corolla Altis,Toyota,2020,102000,52000,Automatic
Mercedes-Benz A250,Mercedes-Benz,2015,69888,52000,Automatic
Perodua AXIA,Perodua,2017,25888,82000,Automatic
Proton Saga,Proton,2024,32888,7000,Automatic
Perodua Alza,Perodua,2011,18888,102000,Automatic
Perodua Myvi,Perodua,2012,15888,92000,Automatic
Perodua Myvi,Perodua,2019,33888,42000,Automatic
Mazda CX-5,Mazda,2018,68888,57000,Automatic
Mercedes-Benz C200,Mercedes-Benz,2019,125800,82000,Automatic
Honda HR-V,Honda,2015,44900,82000,Automatic
Hyundai Grand Starex,Hyundai,2019,119800,47000,Automatic
BMW 320i,BMW,2024,249800,2000,Automatic
BMW X4,BMW,2022,308000,47000,Automatic
Kia Cerato,Kia,2015,23800,92000,Automatic
Toyota Alphard,Toyota,2016,149800,62000,Automatic
Mercedes-Benz C300,Mercedes-Benz,2019,169800,57000,Automatic
BMW 330e,BMW,2019,99000,67000,Automatic
Audi A6,Audi,2013,27000,112000,Automatic
Perodua AXIA,Perodua,2019,32000,74069,Automatic
Mercedes-Benz E250,Mercedes-Benz,2013,108800,137000,Automatic
BMW X5,BMW,2022,319000,32000,Automatic
Ford Fiesta,Ford,2015,68000,62000,Manual
Nissan Latio,Nissan,2008,9800,172000,Automatic
Perodua Bezza,Perodua,2017,35200,120749,Automatic
Mazda CX-3,Mazda,2019,63000,107000,Automatic
Mazda CX-3,Mazda,2019,63000,107000,Automatic
Toyota Vios,Toyota,2010,18800,212000,Manual
Mercedes-Benz C200,Mercedes-Benz,2018,148000,37000,Automatic
Proton Persona,Proton,2016,24800,132169,Automatic
Perodua Myvi,Perodua,2017,37100,95428,Automatic
Toyota Innova,Toyota,2020,94800,52000,Automatic
MINI Clubman,MINI,2019,169800,27000,Automatic
Honda CR-V,Honda,2005,13800,197000,Automatic
Mercedes-Benz CLA200,Mercedes-Benz,2015,86800,77000,Automatic
Honda City,Honda,2023,73800,32000,Automatic
Mercedes-Benz C250,Mercedes-Benz,2018,135800,62000,Automatic
Toyota Vellfire,Toyota,2015,137800,72000,Automatic
Nissan Navara,Nissan,2021,89800,97000,Automatic
Mitsubishi Triton,Mitsubishi,2020,89800,97000,Automatic
Toyota Vellfire,Toyota,2015,137800,72000,Automatic
Nissan Navara,Nissan,2021,89800,97000,Automatic
Mitsubishi Triton,Mitsubishi,2020,89800,97000,Automatic
Mercedes-Benz E250,Mercedes-Benz,2013,89800,82000,Automatic
Mitsubishi Triton,Mitsubishi,2020,95800,77000,Automatic
Toyota Hilux,Toyota,2021,96800,122000,Automatic
Perodua Myvi,Perodua,2018,41000,104174,Automatic
Proton Saga,Proton,2020,29200,51402,Automatic
Proton Saga,Proton,2017,24000,130808,Automatic
Proton Iriz,Proton,2015,19900,102542,Automatic
Perodua Myvi,Perodua,2014,23000,173491,Automatic
Perodua Myvi,Perodua,2015,25000,146866,Automatic
Honda City,Honda,2017,51200,120678,Automatic
Toyota Vios,Toyota,2017,49000,123989,Automatic
Perodua Myvi,Perodua,2019,42800,49153,Automatic
Proton Iriz,Proton,2021,30888,52000,Automatic
Perodua Myvi,Perodua,2018,33888,42000,Automatic
Mercedes-Benz A250,Mercedes-Benz,2020,177800,52000,Automatic
Perodua Myvi,Perodua,2010,12500,207000,Automatic
Toyota Corolla Altis,Toyota,2020,89888,77000,Automatic
Honda Civic,Honda,2022,123000,32557,Automatic
Perodua Myvi,Perodua,2014,25500,166246,Automatic
Toyota Corolla Altis,Toyota,2020,89888,77000,Automatic
Honda Civic,Honda,2022,123000,32557,Automatic
Perodua Myvi,Perodua,2014,25500,166246,Automatic
Perodua Myvi,Perodua,2020,46800,73943,Automatic
Perodua Myvi,Perodua,2021,40000,65234,Automatic
Perodua Myvi,Perodua,2017,35800,137481,Automatic
Perodua Myvi,Perodua,2019,44800,94766,Automatic
Perodua Myvi,Perodua,2019,42800,89391,Automatic
Perodua Myvi,Perodua,2019,44800,85736,Automatic
Proton X70,Proton,2021,73500,44761,Automatic
Proton X70,Proton,2019,64900,61379,Automatic
Perodua Alza,Perodua,2011,21900,190133,Automatic
Toyota Alphard,Toyota,2020,229400,48795,Automatic
Toyota Vios,Toyota,2021,70400,46025,Automatic
Perodua Myvi,Perodua,2015,25900,111800,Automatic
Honda City,Honda,2006,10800,107000,Automatic
Honda City,Honda,2005,10800,107000,Automatic
MINI Countryman,MINI,2023,208888,37000,Automatic
BMW 320i,BMW,2020,148000,52000,Automatic
Nissan Almera,Nissan,2017,32500,122000,Automatic
Toyota Vios,Toyota,2017,52000,107000,Automatic
Honda City,Honda,2008,12800,107000,Automatic
BMW X1,BMW,2022,155800,52000,Automatic
BMW 330i,BMW,2024,258800,12000,Automatic
MINI Countryman,MINI,2024,228888,2000,Automatic
Perodua AXIA,Perodua,2016,27400,71131,Automatic
BMW 528i,BMW,2016,125000,49000,Automatic
Audi S4,Audi,2009,72000,127000,Automatic
Perodua Myvi,Perodua,2016,34000,132000,Automatic
Perodua AXIA,Perodua,2018,28900,87000,Automatic
Perodua Bezza,Perodua,2017,32000,87000,Automatic
Perodua AXIA,Perodua,2017,22000,142000,Automatic
Honda Jazz,Honda,2013,33400,125424,Automatic
Perodua Myvi,Perodua,2012,22900,122000,Automatic
Proton Saga,Proton,2019,25800,42000,Automatic
BMW 330i,BMW,2024,265800,12000,Automatic
Mazda CX-5,Mazda,2016,50000,67000,Automatic
BMW X5,BMW,2020,262800,57000,Automatic
Perodua Alza,Perodua,2012,19300,107000,Automatic
Porsche Macan,Porsche,2015,175000,112000,Automatic
BMW 530i,BMW,2019,175000,67000,Automatic
Porsche Macan,Porsche,2015,175000,112000,Automatic
BMW 530i,BMW,2019,175000,67000,Automatic
Peugeot 208,Peugeot,2014,19000,117000,Automatic
Mazda 3,Mazda,2012,56800,82000,Manual
Honda Civic,Honda,2021,83888,57000,Automatic
Honda Civic,Honda,2015,32888,62000,Automatic
Toyota Yaris,Toyota,2024,69888,2000,Automatic
Honda HR-V,Honda,2019,58888,52000,Automatic
Porsche 911,Porsche,2019,688000,27000,Automatic
Mazda CX-5,Mazda,2015,46800,97000,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2011,43800,137000,Automatic
Perodua Myvi,Perodua,2018,35400,132416,Automatic
Mercedes-Benz E250,Mercedes-Benz,2014,118800,107000,Automatic
Proton Exora,Proton,2018,25800,67000,Automatic
Volkswagen Scirocco,Volkswagen,2012,37800,97000,Automatic
Honda Jazz,Honda,2018,63800,137000,Automatic
Honda Jazz,Honda,2016,43800,82000,Automatic
BMW 330e,BMW,2019,71800,62000,Automatic
BMW X5,BMW,2019,98800,67000,Automatic
Mazda 3,Mazda,2016,46800,77000,Automatic
Perodua Myvi,Perodua,2017,37800,102000,Automatic
Honda HR-V,Honda,2017,49800,127000,Automatic
Smart Forfour,Smart,2005,10850,167000,Automatic
Perodua Myvi,Perodua,2018,40800,87000,Automatic
Honda CR-V,Honda,2020,93800,117000,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2012,49800,117000,Automatic
Honda City,Honda,2017,52800,97000,Automatic
Honda City,Honda,2024,71800,2000,Automatic
Toyota Estima,Toyota,2009,55800,102000,Automatic
Honda Civic,Honda,2015,42800,112000,Automatic
Honda Civic,Honda,2020,95800,112000,Automatic
Honda Civic,Honda,2018,89800,157000,Automatic
Perodua Myvi,Perodua,2017,37800,117000,Automatic
Honda CR-V,Honda,2018,79800,77000,Automatic
Honda City,Honda,2015,31888,87000,Automatic
BMW 318i,BMW,2017,51888,77000,Automatic
Mitsubishi Triton,Mitsubishi,2022,90888,27000,Automatic
Nissan Serena,Nissan,2021,81888,57000,Automatic
BMW X5,BMW,2020,253888,42000,Automatic
Perodua Bezza,Perodua,2021,37888,62000,Automatic
Toyota Vios,Toyota,2009,18888,92000,Automatic
Toyota Harrier,Toyota,2017,87888,72000,Automatic
Toyota Vios,Toyota,2009,18888,92000,Automatic
Toyota Harrier,Toyota,2017,87888,72000,Automatic
Mitsubishi Triton,Mitsubishi,2016,50888,47000,Manual
Nissan Almera,Nissan,2020,57888,42000,Automatic
Honda Accord,Honda,2016,47888,72000,Automatic
Toyota Yaris,Toyota,2022,65888,32000,Automatic
Honda City,Honda,2016,37888,82000,Automatic
Nissan Serena,Nissan,2018,79800,132000,Automatic
Proton Persona,Proton,2015,11800,162000,Automatic
Proton Persona,Proton,2023,47400,13225,Automatic
BMW X1,BMW,2021,129000,77000,Automatic
Perodua Myvi,Perodua,2019,43000,101462,Automatic
Proton Ertiga,Proton,2017,31200,108724,Automatic
Perodua Myvi,Perodua,2019,45800,68446,Automatic
Toyota Vellfire,Toyota,2016,179999,57000,Automatic
Nissan Grand Livina,Nissan,2015,34788,157000,Automatic
Audi Q7,Audi,2011,49788,132000,Automatic
Mazda 3,Mazda,2013,28788,182000,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2012,42788,107000,Automatic
Mazda CX-5,Mazda,2018,79688,72000,Automatic
Lexus RX270,Lexus,2014,86888,87000,Automatic
Honda Civic,Honda,2017,79800,107000,Automatic
Toyota Vellfire,Toyota,2015,155800,102000,Automatic
Toyota Vios,Toyota,2013,29800,122000,Automatic
Honda Civic,Honda,2017,79800,107000,Automatic
Toyota Vellfire,Toyota,2015,155800,102000,Automatic
Toyota Vios,Toyota,2013,29800,122000,Automatic
Honda City,Honda,2010,20800,172000,Automatic
Ford Ranger,Ford,2016,42800,117000,Automatic
BMW X1,BMW,2016,39800,82000,Automatic
Toyota Hilux,Toyota,2020,98800,67000,Automatic
Toyota Hilux,Toyota,2021,99800,52000,Automatic
Honda Jazz,Honda,2015,40888,82000,Automatic
Subaru XV,Subaru,2022,93888,32000,Automatic
Toyota Yaris,Toyota,2022,59888,37000,Automatic
Kia Sportage,Kia,2018,51888,67000,Automatic
Mitsubishi Outlander,Mitsubishi,2017,55888,57000,Automatic
BMW X5,BMW,2017,85888,77000,Automatic
BMW 120i,BMW,2017,64888,62000,Automatic
Nissan Serena,Nissan,2023,127888,2000,Automatic
Toyota Rush,Toyota,2019,56888,87000,Automatic
BMW 330i,BMW,2021,168000,67000,Automatic
Honda City,Honda,2019,57888,72000,Automatic
Proton Exora,Proton,2017,23888,52000,Automatic
Honda Accord,Honda,2021,121888,57000,Automatic
Volkswagen Vento,Volkswagen,2019,25888,32000,Automatic
Honda City,Honda,2018,50888,67000,Automatic
Honda City,Honda,2018,50888,67000,Automatic
Mazda CX-5,Mazda,2020,103888,57000,Automatic
Mercedes-Benz C300,Mercedes-Benz,2023,288000,32000,Automatic
Mercedes-Benz A45 AMG,Mercedes-Benz,2021,299000,17000,Automatic
Mercedes-Benz C43 AMG,Mercedes-Benz,2018,197800,72000,Automatic
Perodua Bezza,Perodua,2017,29000,149000,Automatic
Mercedes-Benz C300,Mercedes-Benz,2023,283000,22000,Automatic
Mercedes-Benz A250,Mercedes-Benz,2018,150000,57000,Automatic
Land Rover Range Rover Evoque,Land,2013,88000,67000,Automatic
Proton Preve,Proton,2014,15000,102000,Manual
Honda Accord,Honda,2016,58000,92000,Automatic
BMW 520i,BMW,2013,56000,87000,Automatic
Honda Accord,Honda,2014,48000,112000,Automatic
Mercedes-Benz E250,Mercedes-Benz,2015,89000,112000,Automatic
Nissan X-Trail,Nissan,2019,64888,92000,Automatic
Honda Accord,Honda,2011,28800,127000,Automatic
Nissan Grand Livina,Nissan,2014,29800,77000,Automatic
Nissan Serena,Nissan,2012,28800,112000,Automatic
Honda Civic,Honda,2016,59900,82000,Automatic
Toyota Vios,Toyota,2014,37800,97000,Automatic
Perodua Myvi,Perodua,2015,29800,87000,Automatic
Nissan Serena,Nissan,2019,85000,62000,Automatic
Volkswagen Golf,Volkswagen,2023,161800,37000,Automatic
Toyota Wish,Toyota,2010,46800,112000,Automatic
Volkswagen Golf,Volkswagen,2023,161800,37000,Automatic
Toyota Wish,Toyota,2010,46800,112000,Automatic
Nissan Serena,Nissan,2020,90000,52000,Automatic
Toyota Vellfire,Toyota,2013,90000,82000,Automatic
Toyota Vios,Toyota,2020,61000,67000,Automatic
Porsche 911,Porsche,2018,499000,42000,Automatic
Nissan Serena,Nissan,2021,95000,92000,Automatic
Perodua Myvi,Perodua,2019,40999,72000,Automatic
Honda Civic,Honda,2017,73999,82000,Automatic
Toyota Hilux,Toyota,2020,101999,47000,Automatic
Mitsubishi Triton,Mitsubishi,2021,84999,62000,Automatic
Ford Ranger,Ford,2017,56999,67000,Automatic
Perodua AXIA,Perodua,2017,26400,123817,Automatic
Honda Jazz,Honda,2017,45999,77000,Automatic
Honda City,Honda,2018,45999,67000,Automatic
Honda City,Honda,2018,45999,67000,Automatic
Honda City,Honda,2017,53999,72000,Automatic
Honda BR-V,Honda,2019,58400,103918,Automatic
Honda Accord,Honda,2015,45999,92000,Automatic
Hyundai Tucson,Hyundai,2019,59500,89554,Automatic
Toyota Vios,Toyota,2022,61999,22000,Automatic
Honda City,Honda,2018,49000,87000,Automatic
Toyota Vios,Toyota,2022,61999,22000,Automatic
Honda City,Honda,2018,49000,87000,Automatic
Toyota Alphard,Toyota,2016,175000,82000,Automatic
Perodua Alza,Perodua,2015,31800,172000,Automatic
Toyota Vellfire,Toyota,2010,77000,92000,Automatic
Nissan X-Trail,Nissan,2021,86000,87000,Automatic
Perodua Myvi,Perodua,2010,13000,122000,Automatic
Nissan Almera,Nissan,2014,17800,107000,Automatic
Honda Civic,Honda,2018,74800,77000,Automatic
Honda HR-V,Honda,2017,55800,92000,Automatic
Nissan Serena,Nissan,2017,59000,92000,Automatic
Mazda CX-5,Mazda,2019,89800,67000,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2012,50000,77000,Automatic
Mercedes-Benz C200,Mercedes-Benz,2015,89000,92000,Automatic
Nissan Teana,Nissan,2014,36000,112000,Automatic
Mercedes-Benz CLA45 AMG,Mercedes-Benz,2020,345800,37000,Automatic
Kia Cerato,Kia,2014,30000,97000,Automatic
Toyota Vios,Toyota,2014,39000,92000,Automatic
Nissan Grand Livina,Nissan,2014,33000,82000,Automatic
Mercedes-Benz E300,Mercedes-Benz,2011,42000,87000,Automatic
Honda CR-V,Honda,2007,22000,122000,Automatic
Nissan X-Trail,Nissan,2017,55000,87000,Automatic
Mazda 3,Mazda,2017,59800,82000,Automatic
BMW X5,BMW,2017,101000,72000,Automatic
Mazda 3,Mazda,2017,59800,82000,Automatic
BMW X5,BMW,2017,101000,72000,Automatic
Perodua Bezza,Perodua,2018,35200,72000,Automatic
Perodua Bezza,Perodua,2019,35800,92000,Automatic
Honda CR-V,Honda,2015,49800,97000,Automatic
BMW 530e,BMW,2018,110000,47000,Automatic
Honda Accord,Honda,2015,57000,87000,Automatic
Mercedes-Benz CLA200,Mercedes-Benz,2015,90000,97000,Automatic
Mazda CX-5,Mazda,2016,49800,77000,Automatic
Toyota Vios,Toyota,2020,62000,77000,Automatic
Mercedes-Benz A200,Mercedes-Benz,2018,128000,57000,Automatic
BMW 530i,BMW,2023,298000,27000,Automatic
MINI 3 Door,MINI,2024,185000,7000,Automatic
Mazda CX-5,Mazda,2016,49800,107000,Automatic
Mazda 3,Mazda,2017,62800,117000,Automatic
Perodua AXIA,Perodua,2017,28600,99640,Automatic
Proton Saga,Proton,2019,31400,31699,Automatic
Mitsubishi ASX,Mitsubishi,2019,55400,85419,Automatic
Toyota Vios,Toyota,2017,54400,129153,Automatic
Perodua Myvi,Perodua,2014,21800,173059,Automatic
Honda HR-V,Honda,2018,68300,69393,Automatic
Perodua AXIA,Perodua,2022,37400,14527,Automatic
Perodua Myvi,Perodua,2020,49000,34972,Automatic
